ID_Cabang,Nama_Cabang,URL_Maps,Alamat,Kota_Kabupaten,Provinsi,Rating,Jumlah_Review,Kategori,Jam_Operasional,Telepon,Website,Status_Tempat,Status_IMB,Sewa_Berakhir,Sisa_Hari_Sewa,Status_Halal,Tingkat_Sengketa,Sewa_Tahunan_IDR,Tingkat_Sengketa_Encoded,Status_IMB_Encoded,Status_Halal_Encoded,Kategori_Encoded,Prediksi_Tingkat_Sengketa
GCN-0013,Mie Gacoan Medan Karya,https://www.google.com/maps/place/Mie+Gacoan+Medan+Karya/data=!4m7!3m6!1s0x303131b458857877:0xfbbceeb91120c815!8m2!3d3.6105105!4d98.6655612!16s%2Fg%2F11jt1fqfnf!19sChIJd3iFWLQxMTARFcggEbnuvPs?authuser=0&hl=id&rclk=1,"Jl. Karya No.109, Sei Agul, Kec. Medan Bar., Kota Medan, Sumatera Utara 20235",Kota Medan,Sumatra Utara,4.7,92,Restoran Mie,Buka 24 jam,0897-9192-129,mitrabalisukses.com,Buka,Approved,2028-09-01,839,Proses Perpanjangan,Low,420000000,0,0,1,0,Low
GCN-0014,Mie Gacoan Denai,https://www.google.com/maps/place/Mie+Gacoan+Denai/data=!4m7!3m6!1s0x30313134c12a40d1:0x9d829ab959c24044!8m2!3d3.5812556!4d98.7214285!16s%2Fg%2F11y2fqsfhl!19sChIJ0UAqwTQxMTARREDCWbmagp0?authuser=0&hl=id&rclk=1,"Jl. Denai No.228, Tegal Sari Mandala Ii, Kec. Medan Denai, Kota Medan, Sumatera Utara 20371",Kota Medan,Sumatra Utara,4.8,92,Restoran Mie,Buka 24 jam,0838-7320-1532,Tidak Ada,Buka,Approved,2026-08-01,77,Tersertifikasi,Low,470000000,0,0,2,0,Low
GCN-0015,Mie Gacoan Sm Raja Medan,https://www.google.com/maps/place/Mie+Gacoan+SM+Raja+Medan/data=!4m7!3m6!1s0x30313189e0be0add:0x407a8d1076e60b82!8m2!3d3.5633994!4d98.6931273!16s%2Fg%2F11sf5994x9!19sChIJ3Qq-4IkxMTARggvmdhCNekA?authuser=0&hl=id&rclk=1,"Jl. Sisingamangaraja No.61A, Teladan Bar., Kec. Medan Kota, Kota Medan, Sumatera Utara 20147",Kota Medan,Sumatra Utara,4.8,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2028-07-06,782,Tersertifikasi,Low,170000000,0,0,2,0,Low
GCN-0016,Mie Gacoan Gaperta,https://www.google.com/maps/place/Mie+Gacoan+Gaperta/data=!4m7!3m6!1s0x30312fcb545a860f:0x788dccf9ae962b4b!8m2!3d3.6050762!4d98.625751!16s%2Fg%2F11vkfw080g!19sChIJD4ZaVMsvMTARSyuWrvnMjXg?authuser=0&hl=id&rclk=1,"Jl. Gaperta Ujung No.40, Tj. Gusta, Kec. Medan Helvetia, Kota Medan, Sumatera Utara 20123",Kota Medan,Sumatra Utara,4.7,10,Restoran Mie,07.00 hingga 04.00,Tidak Ada,Tidak Ada,Buka,Bermasalah,2027-07-11,421,Tersertifikasi,High (Butuh Eskalasi),310000000,2,1,2,0,High (Butuh Eskalasi)
GCN-0017,Mie Gacoan Marelan Raya,https://www.google.com/maps/place/Mie+Gacoan+Marelan+Raya/data=!4m7!3m6!1s0x30312d66f021994d:0x8daa4659e299370f!8m2!3d3.6828994!4d98.6560249!16s%2Fg%2F11s8b8njc0!19sChIJTZkh8GYtMTARDzeZ4llGqo0?authuser=0&hl=id&rclk=1,"Jl. Marelan Raya, Tanah Enam Ratus, Kec. Medan Marelan, Kota Medan, Sumatera Utara 20245",Kota Medan,Sumatra Utara,4.7,175,Restoran Mie,08.00 hingga 00.00,0897-9192-129,Tidak Ada,Buka,Approved,2028-04-06,691,Proses Perpanjangan,Low,680000000,0,0,1,0,Low
GCN-0018,Mie Gacoan A. H. Nasution,https://www.google.com/maps/place/Mie+Gacoan+A.+H.+Nasution/data=!4m7!3m6!1s0x303131eb7d4a3d03:0xb06299ce044f1201!8m2!3d3.5411507!4d98.662366!16s%2Fg%2F11l2ws3ry8!19sChIJAz1KfesxMTARARJPBM6ZYrA?authuser=0&hl=id&rclk=1,"Jl. Jenderal Besar A.H. Nasution, Pangkalan Masyhur, Kec. Medan Johor, Kota Medan, Sumatera Utara 20146",Kota Medan,Sumatra Utara,4.7,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2027-10-27,529,Tersertifikasi,Medium,720000000,1,0,2,0,Medium
GCN-0019,Mie Gacoan Pancing,https://www.google.com/maps/place/Mie+Gacoan+Pancing/data=!4m7!3m6!1s0x303131250accc93f:0xd52e75582641e8b!8m2!3d3.6147637!4d98.7074657!16s%2Fg%2F11ty7093xh!19sChIJP8nMCiUxMTARix5kglXnUg0?authuser=0&hl=id&rclk=1,"Jl. Williem Iskandar, Kenangan Baru, Kec. Percut Sei Tuan, Kota Medan, Sumatera Utara",Kota Medan,Sumatra Utara,4.6,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2028-04-07,692,Tersertifikasi,Low,510000000,0,0,2,0,Low
GCN-0020,Mie Gacoan,https://www.google.com/maps/place/Mie+Gacoan/data=!4m7!3m6!1s0x303131007d302f71:0x974889b3449a856f!8m2!3d3.5754073!4d98.6629438!16s%2Fg%2F11w4g5_bt2!19sChIJcS8wfQAxMTARb4WaRLOJSJc?authuser=0&hl=id&rclk=1,"Jl. Panglima Nyak Makam, Darat, Kec. Medan Baru, Kota Medan, Sumatera Utara",Kota Medan,Sumatra Utara,4.9,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,In Progress,2028-08-02,809,Tersertifikasi,Low,640000000,0,2,2,0,Low
GCN-0021,Mie Gacoan Tanjung Morawa,https://www.google.com/maps/place/Mie+Gacoan+Tanjung+Morawa/data=!4m7!3m6!1s0x303139a03d57181b:0x93af898d4979fecd!8m2!3d3.5222631!4d98.7898537!16s%2Fg%2F11yshj70mt!19sChIJGxhXPaA5MTARzf55SY2Jr5M?authuser=0&hl=id&rclk=1,"Jl. Tj. Morawa No.9, Bandar Labuhan, Kec. Tj. Morawa, Kabupaten Deli Serdang, Sumatera Utara 20365",Kabupaten Deli Serdang,Sumatra Utara,4.8,92,Restoran Mie,Buka 24 jam,0895-3209-14733,Tidak Ada,Buka,Bermasalah,2028-02-18,643,Tersertifikasi,Medium,270000000,1,1,2,0,Medium
GCN-0022,Mie Gacoan Tembung,https://www.google.com/maps/place/Mie+Gacoan+Tembung/data=!4m7!3m6!1s0x30313100626973f1:0x78dc53067ba28a8f!8m2!3d3.5967324!4d98.7434069!16s%2Fg%2F11lcrl2jtk!19sChIJ8XNpYgAxMTARj4qiewZT3Hg?authuser=0&hl=id&rclk=1,"Jl. Besar Tembung No.32, Hutan, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20225",Kabupaten Deli Serdang,Sumatra Utara,4.7,92,Restoran Mie,06.00 hingga 21.00,Tidak Ada,Tidak Ada,Buka,Approved,2026-07-04,49,Proses Perpanjangan,Low,720000000,0,0,1,0,Low
GCN-0023,Mie Gacoan Lubuk Pakam - Imam Bonjol,https://www.google.com/maps/place/Mie+Gacoan+Lubuk+Pakam+-+Imam+Bonjol/data=!4m7!3m6!1s0x303149004ec3c4ad:0x248d7eed682b7ae!8m2!3d3.5576556!4d98.8795098!16s%2Fg%2F11yf8xvzt0!19sChIJrcTDTgBJMTARrreC1u7XSAI?authuser=0&hl=id&rclk=1,"Jl. Imam Bonjol No.50, Tj. Garbus Satu, Kec. Lubuk Pakam, Kabupaten Deli Serdang, Sumatera Utara 20518",Kabupaten Deli Serdang,Sumatra Utara,4.8,92,Restoran Mie,07.00 hingga 03.00,Tidak Ada,mitrabalisukses.com,Buka,Approved,2026-11-11,179,Tersertifikasi,Low,600000000,0,0,2,0,Low
GCN-0024,Mie Gacoan Stabat,https://www.google.com/maps/place/Mie+Gacoan+Stabat/data=!4m7!3m6!1s0x30372b0053ac4593:0xaac37340e5ac4ea4!8m2!3d3.7504849!4d98.4679412!16s%2Fg%2F11xvlpv186!19sChIJk0WsUwArNzARpE6s5UBzw6o?authuser=0&hl=id&rclk=1,"Mie Gacoan, Perdamaian, Kec. Stabat, Kabupaten Langkat, Sumatera Utara 20811",Kabupaten Langkat,Sumatra Utara,4.7,92,Restoran Mie,07.00 hingga 05.00,Tidak Ada,instagram.com,Buka,Approved,2028-04-09,694,Tersertifikasi,Medium,770000000,1,0,2,0,Medium
GCN-0025,Mie Gacoan Binjai,https://www.google.com/maps/place/Mie+Gacoan+Binjai/data=!4m7!3m6!1s0x303129e3984a1d75:0x5ea99ae73f3118b7!8m2!3d3.6087481!4d98.4953217!16s%2Fg%2F11vj6rccms!19sChIJdR1KmOMpMTARtxgxP-eaqV4?authuser=0&hl=id&rclk=1,"Jl. Soekarno Hatta, Timbang Langkat, Kec. Binjai Tim., Kota Binjai, Sumatera Utara 20735",Kota Binjai,Sumatra Utara,4.7,92,Restoran Mie,08.00 hingga 23.30,Tidak Ada,Tidak Ada,Buka,Approved,2027-08-31,472,Proses Perpanjangan,Medium,540000000,1,0,1,0,Medium
GCN-0026,Gacoan Siantar,https://www.google.com/maps/place/gacoan+siantar/data=!4m7!3m6!1s0x303185005943552b:0xf47ba8bc5ed0c6a1!8m2!3d2.9566274!4d99.0600317!16s%2Fg%2F11whnwdw1k!19sChIJK1VDWQCFMTARocbQXryoe_Q?authuser=0&hl=id&rclk=1,"Jl. Sudirman No.20, Simalungun, Kec. Siantar Sel., Kota Pematang Siantar, Sumatera Utara 21144",Kota Pematang Siantar,Sumatra Utara,4.9,92,Restoran Mie,Buka 24 jam,0831-6743-2686,Tidak Ada,Buka,Approved,2028-08-07,814,Tersertifikasi,Low,510000000,0,0,2,0,Low
GCN-0027,Mie Gacoan,https://www.google.com/maps/place/Mie+gacoan/data=!4m7!3m6!1s0x303131006f579e85:0xd092acb5b8e6b2e0!8m2!3d3.5654249!4d98.6932541!16s%2Fg%2F11ynvpzcj1!19sChIJhZ5XbwAxMTAR4LLmuLWsktA?authuser=0&hl=id&rclk=1,"Hm8V+582, Jl. Asrama 3, Teladan Bar., Kec. Medan Kota, Kota Medan, Sumatera Utara 20214",Kota Medan,Sumatra Utara,4.7,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2028-10-02,870,Tersertifikasi,Low,150000000,0,0,2,0,Low
GCN-0028,Mie Gacoan Rantauprapat,https://www.google.com/maps/place/Mie+Gacoan+Rantauprapat/data=!4m7!3m6!1s0x302da10002d46be7:0x919093d5297f0698!8m2!3d2.0841142!4d99.8517031!16s%2Fg%2F11y8k795kq!19sChIJ52vUAgChLTARmAZ_KdWTkJE?authuser=0&hl=id&rclk=1,"Jl. Sm. Raja Jl. Aek Tapa No.7, Rantau Prapat, Kec. Rantau Sel., Kab. Labuhanbatu, Sumatera Utara 21418",Kabupaten Labuhanbatu,Sumatra Utara,4.8,92,Restoran Mie,Buka 24 jam,Tidak Ada,mitrabalisukses.com,Buka,Approved,2027-07-05,415,Tersertifikasi,Low,420000000,0,0,2,0,Low
GCN-0029,Mie Gacoan Tanjung Balai,https://www.google.com/maps/place/Mie+Gacoan+Tanjung+Balai/data=!4m7!3m6!1s0x303251157a730db5:0x78c79db4dbe03b91!8m2!3d2.9605429!4d99.8019955!16s%2Fg%2F11y12kv_pk!19sChIJtQ1zehVRMjARkTvg27Sdx3g?authuser=0&hl=id&rclk=1,"Karya, Tanjungbalai Selatan, Kota Tanjung Balai, Sumatera Utara 21314",Kota Tanjung Balai,Sumatra Utara,4.9,92,Restoran Mie,07.00 hingga 00.00,0899-0124-001,Tidak Ada,Buka,Approved,2027-10-24,526,Tersertifikasi,Low,370000000,0,0,2,0,Low
GCN-0030,Mi Gacoan Sisingamangaraja,https://www.google.com/maps/place/Mi+gacoan+Sisingamangaraja/data=!4m7!3m6!1s0x3031310002e37035:0x6b5d780eab26d334!8m2!3d3.5633405!4d98.6931454!16s%2Fg%2F11m6s7dkjz!19sChIJNXDjAgAxMTARNNMmqw54XWs?authuser=0&hl=id&rclk=1,"Hm7V+87J, Jl. Sisingamangaraja, Harjosari Ii, Kec. Medan Kota, Kota Medan, Sumatera Utara",Kota Medan,Sumatra Utara,4.1,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2026-11-02,170,Tersertifikasi,Low,760000000,0,0,2,0,Low
GCN-0031,Mie Gacoan K.Jum,https://www.google.com/maps/place/Mie+gacoan+k.jum/data=!4m7!3m6!1s0x30324b00205897ef:0x7f6b9805ba6b0767!8m2!3d3.0351989!4d99.628321!16s%2Fg%2F11ms2flmbd!19sChIJ75dYIABLMjARZwdrugWYa38?authuser=0&hl=id&rclk=1,"2Jph+38, Pd. Bungur, Kec. Rawang Panca Arga, Kabupaten Asahan, Sumatera Utara",Kabupaten Asahan,Sumatra Utara,5.0,92,Restoran Mie,10.00 hingga 22.00,0813-6227-5918,Tidak Ada,Buka,Approved,2028-08-13,820,Tersertifikasi,Medium,280000000,1,0,2,0,Medium
GCN-0032,Head Office Pt Mitra Bali Sukses (Mie Gacoan),https://www.google.com/maps/place/Head+Office+PT+Mitra+Bali+Sukses+%28Mie+Gacoan%29/data=!4m7!3m6!1s0x30312f917a42e457:0x8f6919e975ccad69!8m2!3d3.6048681!4d98.7156724!16s%2Fg%2F11t835h7r0!19sChIJV-RCepEvMTARaa3MdekZaY8?authuser=0&hl=id&rclk=1,"Pasar V Barat, Mmtc Warehouse 2, Jl. Williem Iskandar No.G-8, Kenangan Baru, Kec. Percut Sei Tuan, Kabupaten Deli Serdang, Sumatera Utara 20374",Kabupaten Deli Serdang,Sumatra Utara,4.5,92,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2028-09-21,859,Tersertifikasi,Low,750000000,0,0,2,0,Low
GCN-0033,Mie Gacoan Padang - Bypass,https://www.google.com/maps/place/Mie+Gacoan+Padang+-+Bypass/data=!4m7!3m6!1s0x2fd4b9d1864c552d:0xf987ed9ab2770dd2!8m2!3d-0.9234178!4d100.3980751!16s%2Fg%2F11x_3jk_35!19sChIJLVVMhtG51C8R0g13sprth_k?authuser=0&hl=id&rclk=1,"Jl. By Pass Jl. Durian Tarung, Ps. Ambacang, Kec. Kuranji, Kota Padang, Sumatera Barat 25175",Kota Padang,Sumatra Barat,4.7,25,Restoran Mie,08.00 hingga 05.00,Tidak Ada,Tidak Ada,Buka,Approved,2028-03-28,682,Tersertifikasi,Low,800000000,0,0,2,0,Low
GCN-0034,Mie Gacoan Padang - Khatib,https://www.google.com/maps/place/Mie+Gacoan+Padang+-+Khatib/data=!4m7!3m6!1s0x2fd4b9005ef5bb9d:0xfa1df441b1ba8a38!8m2!3d-0.9131717!4d100.3579241!16s%2Fg%2F11vr1_qk3k!19sChIJnbv1XgC51C8ROIq6sUH0Hfo?authuser=0&hl=id&rclk=1,"Jl. Khatib Sulaiman No.68, Ulak Karang Sel., Kec. Padang Utara, Kota Padang, Sumatera Barat 25173",Kota Padang,Sumatra Barat,4.6,25,Restoran Mie,08.00 hingga 00.00,Tidak Ada,Tidak Ada,Buka,Approved,2027-08-10,451,Tersertifikasi,Medium,430000000,1,0,2,0,Medium
GCN-0035,Mie Gacoan Bukittinggi - Soekarno Hatta,https://www.google.com/maps/place/Mie+Gacoan+Bukittinggi+-+Soekarno+Hatta/data=!4m7!3m6!1s0x2fd5390018dc451d:0x85da496834b5cba1!8m2!3d-0.2969403!4d100.3860447!16s%2Fg%2F11xh8tnsq_!19sChIJHUXcGAA51S8Rocu1NGhJ2oU?authuser=0&hl=id&rclk=1,"P93P+6Cf, Manggis Ganting, Kec. Mandiangin Koto Selayan, Kota Bukittinggi, Sumatera Barat",Kota Bukittinggi,Sumatra Barat,4.7,25,Restoran Mie,08.00 hingga 00.00,Tidak Ada,Tidak Ada,Buka,Approved,2027-12-26,589,Tersertifikasi,Low,340000000,0,0,2,0,Low
GCN-0036,Mie Gacoan Payakumbuh,https://www.google.com/maps/place/Mie+Gacoan+Payakumbuh/data=!4m7!3m6!1s0x2fd54b004ba2df1b:0x282bd3de7f5e8d81!8m2!3d-0.2429384!4d100.6134675!16s%2Fg%2F11ww91lxb1!19sChIJG9-iSwBL1S8RgY1ef97TKyg?authuser=0&hl=id&rclk=1,"Jl. Soekarno - Hatta No.Kelurahan, Bulakan Balai Kandih, Kec. Payakumbuh Bar., Kota Payakumbuh, Sumatera Barat 26225",Kota Payakumbuh,Sumatra Barat,4.6,25,Restoran Mie,07.00 hingga 03.00,0897-2050-001,mitrabalisukses.com,Buka,Approved,2027-08-08,449,Menunggu Audit,Low,290000000,0,0,0,0,Low
GCN-0037,Mie Gacoan Padang - Sutomo,https://www.google.com/maps/place/Mie+Gacoan+Padang+-+Sutomo/data=!4m7!3m6!1s0x2fd4b939a24deee3:0x2a9c4d5076f460d8!8m2!3d-0.9470811!4d100.3809713!16s%2Fg%2F11kk1f71z6!19sChIJ4-5Nojm51C8R2GD0dlBNnCo?authuser=0&hl=id&rclk=1,"Jl. Dr. Sutomo, Simpang Haru, Kec. Padang Tim., Kota Padang, Sumatera Barat",Kota Padang,Sumatra Barat,4.7,25,Restoran Mie,Buka 24 jam,Tidak Ada,Tidak Ada,Buka,Approved,2026-06-05,20,Menunggu Audit,Low,760000000,0,0,0,0,Low
GCN-0038,Mie Gacoan By Bulek Cabang Simpang Kiambang,https://www.google.com/maps/place/Mie+Gacoan+by+bulek+cabang+simpang+kiambang/data=!4m7!3m6!1s0x2fd52d005774dbe7:0x1d10dc12ac560ce9!8m2!3d-0.4663056!4d100.5363333!16s%2Fg%2F11myv_vppt!19sChIJ59t0VwAt1S8R6QxWrBLcEB0?authuser=0&hl=id&rclk=1,"Jalan Sudirman No 18 Simpang Kiambang Jorong, Kubu Rajo, Kec. Lima Kaum, Kabupaten Tanah Datar",Kabupaten Tanah Datar,Sumatera Barat,4.4,8,Restoran Mie,10.00 hingga 22.00,0852-1083-3815,Tidak Ada,Buka,Approved,2028-01-06,600,Tersertifikasi,Medium,390000000,1,0,2,0,Medium
GCN-0039,Mie Gacoan Bandung - Braga,https://www.google.com/maps/place/Mie+Gacoan+Bandung+-+Braga/data=!4m7!3m6!1s0x2e68e7443ff0e33b:0xd76d78736a954172!8m2!3d-6.9175961!4d107.6129776!16s%2Fg%2F11svtrqrng!19sChIJO-PwP0TnaC4RckGVanN4bdc?authuser=0&hl=id&rclk=1,"Jl. Sumatera No.1, Braga, Kec. Sumur Bandung, Kota Bandung, Jawa Barat 40111",Kota Bandung,Jawa Barat,4.7,8,Restoran Mie,08.00 hingga 23.00,Tidak Ada,Tidak Ada,Buka,Approved,2026-03-17,0,Proses Perpanjangan,Low,390000000,0,0,1,0,Low
